,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,76.73,78,30,10.29,PF,1645381136
1,Chui,-33.6971,-53.4616,82.02,58,77,14.67,UY,1645381197
2,Hermanus,-34.4187,19.2345,65.8,85,0,9.01,ZA,1645381091
3,Saldanha,-33.0117,17.9442,63.86,88,9,9.51,ZA,1645381198
4,Traiguén,-38.25,-72.6833,73.09,30,23,7.7,CL,1645381198
5,Port Alfred,-33.5906,26.891,69.73,75,6,9.95,ZA,1645381136
6,Ubari,26.5921,12.7805,65.98,15,72,9.91,LY,1645381198
7,Rome,43.2128,-75.4557,35.82,43,20,13.8,US,1645381135
9,Meulaboh,4.1363,96.1285,77.77,78,99,4.76,ID,1645381199
10,Quimper,48,-4.1,54.61,87,100,24.16,FR,1645381107
11,Finnsnes,69.2296,17.9811,18.21,93,90,5.73,NO,1645381199
12,Katsuura,35.1333,140.3,39.22,48,77,17.9,JP,1645381200
13,Atuona,-9.8,-139.0333,78.35,73,14,18.34,PF,1645380859
14,Ifo,6.8144,3.1958,84.38,61,98,9.44,NG,1645381200
15,Mataura,-46.1927,168.8643,45.48,96,85,2.28,NZ,1645381090
16,Tezu,27.9167,96.1667,56.12,74,88,4.03,IN,1645381201
17,Lumeje,-11.55,20.7833,65.44,96,96,3.69,AO,1645381202
18,Tubualá,9.5167,-79.0333,89.56,73,12,17.63,PA,1645381202
19,Busselton,-33.65,115.3333,63.05,73,84,13.44,AU,1645381203
20,Bloomingdale,27.8936,-82.2404,79.95,56,0,11.01,US,1645381203
21,Smithers,54.7804,-127.1743,30.52,93,100,5.75,CA,1645380969
22,Verkhnyaya Inta,65.9811,60.3094,20.12,89,100,5.41,RU,1645381203
23,Atasū,48.6814,71.6433,17.55,90,95,4.25,KZ,1645381204
24,Arco,45.9177,10.8867,54.84,69,82,1.61,IT,1645381204
25,Ushuaia,-54.8,-68.3,53.26,50,20,0,AR,1645380862
27,Punta Arenas,-53.15,-70.9167,51.91,71,40,6.91,CL,1645381095
28,Albany,42.6001,-73.9662,31.82,52,56,1.99,US,1645381207
29,Cape Town,-33.9258,18.4232,72.09,63,40,9.22,ZA,1645381031
30,Vila Velha,-20.3297,-40.2925,85.95,73,20,16.11,BR,1645381208
31,Tuktoyaktuk,69.4541,-133.0374,-32.8,68,0,6.91,CA,1645381208
32,Khatanga,71.9667,102.5,13.35,95,100,9.6,RU,1645381095
34,Lebu,-37.6167,-73.65,63.36,68,1,10.71,CL,1645381208
35,Tiznit Province,29.5833,-9.5,56.7,58,6,7.7,MA,1645381209
36,Lagoa,39.05,-27.9833,55.83,56,85,4.54,PT,1645381209
37,Avarua,-21.2078,-159.775,78.85,89,40,13.8,CK,1645381209
38,Thompson,55.7435,-97.8558,-23.64,57,0,13.8,CA,1645381078
39,Bredasdorp,-34.5322,20.0403,67.32,73,1,13.8,ZA,1645381210
40,Hervey Bay,-25.2986,152.8535,72.01,89,28,5.99,AU,1645381210
41,Barrow,71.2906,-156.7887,-29.18,68,100,11.5,US,1645381031
42,Saint-Jean-de-la-Ruelle,47.9113,1.8648,53.26,79,100,25.32,FR,1645381211
44,Ponta do Sol,32.6667,-17.1,63.23,67,74,11.21,PT,1645381211
45,Thibodaux,29.7958,-90.8229,68.02,65,7,8.01,US,1645381045
46,Tasiilaq,65.6145,-37.6368,21.36,67,100,4.76,GL,1645381212
47,Santa Quitéria,-4.3319,-40.1567,86.88,49,87,6.62,BR,1645381212
48,Bluff,-46.6,168.3333,45.81,86,84,6.51,NZ,1645381089
49,Raymond,43.9015,-70.4703,26.42,36,36,7.45,US,1645381212
50,Bengkulu,-3.8004,102.2655,76.06,89,100,3.44,ID,1645381094
51,Manono,-7.3,27.4167,69.37,94,59,2.26,CD,1645381273
53,Vaini,-21.2,-175.2,80.51,76,11,16.04,TO,1645381273
54,Haines Junction,60.7522,-137.5108,15.75,67,100,4.61,CA,1645381274
55,Laramie,41.3114,-105.5911,46.9,33,0,19.57,US,1645381274
56,Xichang,27.8964,102.2634,37.13,89,100,3.65,CN,1645381274
57,Dongsheng,39.8161,109.9776,9.05,63,0,3.15,CN,1645381275
58,Xining,36.6167,101.7667,18.07,52,100,2.73,CN,1645381275
60,Raudeberg,61.9875,5.1352,33.58,94,100,8.01,NO,1645381275
61,Luanda,-8.8368,13.2343,82.4,74,75,5.75,AO,1645381052
62,Puerto Ayora,-0.7393,-90.3518,85.96,84,67,8.99,EC,1645381276
63,Kruisfontein,-34.0033,24.7314,65.88,76,12,8.43,ZA,1645381276
66,Jamestown,42.097,-79.2353,39.52,27,0,18.41,US,1645381241
67,Benfleet,51.565,0.5558,53.98,83,75,38.99,GB,1645381277
69,Grand Gaube,-20.0064,57.6608,81.37,83,100,14,MU,1645381277
70,Carauari,-4.8828,-66.8958,80.83,89,100,3.38,BR,1645381278
71,Hobart,-42.8794,147.3294,53.46,56,75,10.36,AU,1645380970
72,Lompoc,34.6391,-120.4579,72.09,86,100,5.75,US,1645381250
73,Yellowknife,62.456,-114.3525,-23.71,67,40,2.3,CA,1645381278
74,Arrondissement de Bergerac,44.8333,0.5,52.02,87,75,10.36,FR,1645381279
75,Tekeli,44.83,78.8239,21.61,50,0,10.71,KZ,1645381279
76,George Town,5.4112,100.3354,81.95,84,20,5.75,MY,1645381020
77,Sisimiut,66.9395,-53.6735,0.72,75,100,11.74,GL,1645381279
78,Kiryat Gat,31.61,34.7642,57.4,100,39,3,IL,1645381280
79,Huilong,31.8111,121.655,38.03,49,100,3.65,CN,1645381280
80,Malartic,48.1335,-78.1328,15.62,88,100,14.83,CA,1645381180
81,Provideniya,64.3833,-173.3,-7.71,92,98,16.28,RU,1645381091
82,East London,-33.0153,27.9116,70.74,60,0,10.36,ZA,1645381281
83,Whitianga,-36.8333,175.7,60.03,90,4,3.02,NZ,1645381281
84,Crixás,-14.5489,-49.9692,76.46,86,96,5.03,BR,1645381281
85,Ust-Maya,60.4167,134.5333,-25.58,100,100,0.81,RU,1645381092
86,Juneau,58.3019,-134.4197,36.84,93,75,0,US,1645381282
87,Tataouine,32.9297,10.4518,59.58,62,70,12.82,TN,1645381282
88,Kavaratti,10.5669,72.642,81.05,67,25,3.71,IN,1645381283
89,Dubbo,-32.25,148.6167,64.53,88,90,8.05,AU,1645381283
90,Rio Grande,-32.035,-52.0986,87.91,67,49,18.28,BR,1645381283
91,Guerrero Negro,27.9769,-114.0611,63.95,48,18,2.3,MX,1645381284
92,Port Elizabeth,-33.918,25.5701,68.09,88,0,12.66,ZA,1645381094
93,Souillac,-20.5167,57.5167,81.36,89,100,29.93,MU,1645381284
94,Oranjemund,-28.55,16.4333,64.56,80,2,15.59,NA,1645381284
95,Kawalu,-7.3817,108.2082,72.68,91,93,2.13,ID,1645381285
96,Hilo,19.7297,-155.09,77.25,74,0,8.05,US,1645381032
97,Port Hardy,50.6996,-127.4199,41.76,93,75,11.5,CA,1645381063
98,Kavieng,-2.5744,150.7967,82.24,79,89,11.74,PG,1645381285
99,Mossamedes,-15.1961,12.1522,75.99,82,86,9.24,AO,1645381286
101,Aitape,-3.1374,142.3475,75.97,86,100,3.89,PG,1645381346
103,Wucheng,29.6008,118.175,34,73,100,2.51,CN,1645381346
104,Najrān,17.4924,44.1277,75.85,28,93,5.28,SA,1645381347
105,Snåase,64.2457,12.3778,31.41,95,97,6.53,NO,1645381347
106,Hithadhoo,-0.6,73.0833,81.72,69,67,3.42,MV,1645381137
107,Bethel,41.3712,-73.414,33.3,50,0,10.36,US,1645380870
108,Kailua,21.4022,-157.7394,75.07,86,62,1.01,US,1645381077
109,São Gabriel da Cachoeira,-0.1303,-67.0892,87.6,70,40,8.05,BR,1645381348
111,Yantal',56.8471,105.2542,1.47,100,93,3.62,RU,1645381348
112,Haren,52.7833,7.2333,50.14,93,100,25.84,DE,1645381239
113,Mtambile,-5.3833,39.7,80.01,78,82,5.79,TZ,1645381349
114,Mar del Plata,-38.0023,-57.5575,71.62,91,75,10.36,AR,1645381217
115,Hasaki,35.7333,140.8333,34.2,45,52,32.97,JP,1645381349
116,San Bartolomé de Tirajana,27.9248,-15.5733,56.32,54,20,27.63,ES,1645381205
117,Avilés,43.5547,-5.9248,54.79,76,20,12.66,ES,1645381349
118,Cidreira,-30.1811,-50.2056,79.86,68,1,11.16,BR,1645381350
119,Ayagoz,47.9714,80.4392,-9.69,95,5,4.38,KZ,1645381350
120,Arrondissement de Pontivy,48,-3,54.63,86,100,24.94,FR,1645381351
121,Windhoek,-22.5594,17.0832,73.6,61,97,3.44,NA,1645381078
122,Ulagan,50.6321,87.9563,-2.29,97,48,3.44,RU,1645381351
123,Vardø,70.3705,31.1107,28.38,80,75,13.8,NO,1645381351
125,Broome,42.2506,-75.833,36.01,47,100,14.97,US,1645381352
126,Qaanaaq,77.484,-69.3632,-1.97,46,65,6.76,GL,1645381352
127,Flin Flon,54.7682,-101.865,-18.56,52,0,10.36,CA,1645381352
128,Christchurch,-43.5333,172.6333,59,82,7,8.05,NZ,1645381109
130,Benemérito de las Américas,16.5167,-90.6439,86.09,47,34,3.33,MX,1645381353
131,Skeldon,5.8833,-57.1333,81.32,73,49,5.86,GY,1645381353
132,Tuatapere,-46.1333,167.6833,45.82,92,75,3.53,NZ,1645381354
133,Morada Nova,-5.1067,-38.3725,89.15,48,71,7.02,BR,1645381354
134,Mendoza,-32.8908,-68.8272,83.73,37,40,12.66,AR,1645381232
135,Salalah,17.0151,54.0924,75.29,69,0,1.14,OM,1645381354
137,New Norfolk,-42.7826,147.0587,53.1,57,20,4,AU,1645381355
138,Greenwood,34.1668,-82.1165,58.48,25,0,1.99,US,1645381355
139,Tual,-5.6667,132.75,81.19,80,100,11.23,ID,1645381356
140,Namatanai,-3.6667,152.4333,80.08,83,53,5.79,PG,1645381092
141,Beringovskiy,63.05,179.3167,-8.05,97,100,13.35,RU,1645381356
142,Daru,-9.0763,143.2092,77.68,89,100,4.36,PG,1645381356
143,Wajid,3.8093,43.2471,84.76,30,28,10.31,SO,1645381357
144,Koumac,-20.5667,164.2833,77.77,82,91,3.8,NC,1645381357
145,Dunedin,-45.8742,170.5036,58.8,84,38,13,NZ,1645381357
146,Fortuna,40.5982,-124.1573,51.33,87,100,9.22,US,1645381358
147,Kilindoni,-7.9139,39.6668,82.06,81,47,9.82,TZ,1645381358
148,Bambous Virieux,-20.3428,57.7575,81.21,89,100,29.93,MU,1645381358
149,Mahrīz,31.5917,54.4318,61.3,61,81,7.18,IR,1645381359
150,Bambanglipuro,-7.95,110.2833,78.12,83,100,3.29,ID,1645381419
151,Coyhaique,-45.5752,-72.0662,57.15,77,100,10.36,CL,1645381419
153,Brattvåg,62.6002,6.4434,35.26,60,75,17.27,NO,1645381420
154,Geraldton,-28.7667,114.6,70.21,88,100,5.75,AU,1645381420
155,Lima,-12.0432,-77.0282,75.38,71,40,10.36,PE,1645381249
156,Beidao,34.5686,105.8933,25.48,79,100,1.97,CN,1645381421
157,Yueyang,29.3333,113.0919,37.49,73,92,2.55,CN,1645381421
158,Coquimbo,-29.9533,-71.3436,71.37,64,0,6.42,CL,1645381421
159,Kapaa,22.0752,-159.319,66.18,67,0,6.91,US,1645381422
160,Severo-Kuril'sk,50.6789,156.125,29.64,85,76,21.77,RU,1645381422
161,Sarkand,45.41,79.9186,23.38,58,2,8.75,KZ,1645381422
162,Sokoto,13.0609,5.239,78.82,9,3,9.78,NG,1645381423
163,Buarcos,40.166,-8.8768,58.1,88,60,15.23,PT,1645381423
164,Arraial do Cabo,-22.9661,-42.0278,87.76,74,75,10.36,BR,1645381096
165,Saint-Philippe,-21.3585,55.7679,83.79,92,100,27.25,RE,1645381423
166,Esperance,-33.8667,121.9,62.44,72,91,10.58,AU,1645381424
167,Taoudenni,22.6783,-3.9836,84.63,13,69,9.28,ML,1645381424
168,Dehlorān,32.6941,47.2679,60.15,55,16,0.04,IR,1645381424
169,Labuhan,-6.8844,112.2051,77.72,88,100,7.31,ID,1645381425
170,Ribeira Grande,38.5167,-28.7,59.4,55,75,5.75,PT,1645381425
171,Stykkisholmur,65.0757,-22.7297,32.94,79,90,16.44,IS,1645381425
172,Bull Savanna,17.8868,-77.5902,82.36,53,31,9.91,JM,1645381426
173,Neiafu,-18.65,-173.9833,74.08,94,40,0,TO,1645381426
174,Hofn,64.2539,-15.2082,35.1,70,100,33.08,IS,1645381426
175,Jalu,29.0331,21.5482,64.74,34,93,1.07,LY,1645381427
176,Podgornoye,51.735,39.1496,32.22,74,0,4.47,RU,1645381427
177,Zhuhai,22.2769,113.5678,49.98,93,75,19.57,CN,1645381427
178,Caravelas,-17.7125,-39.2481,85.64,56,100,9.53,BR,1645381428
179,Srednekolymsk,67.45,153.6833,-47.74,100,61,2.66,RU,1645381428
180,Sitka,57.0531,-135.33,35.49,93,100,0,US,1645381096
181,Saint Paul Harbor,57.79,-152.4072,31.51,86,0,8.05,US,1645381428
182,Korla,41.7597,86.1469,27.16,49,3,3.51,CN,1645381429
183,Kaeo,-35.1,173.7833,64.33,97,18,5.14,NZ,1645381429
184,Palmer,42.1584,-72.3287,32.49,42,75,9.22,US,1645381429
185,Dingle,10.9995,122.6711,74.62,90,100,6.87,PH,1645381430
186,Innisfail,-17.5333,146.0333,75.88,93,80,4.68,AU,1645381430
187,Cabra,37.4725,-4.4421,62.04,74,88,3.67,ES,1645381430
188,Sakakah,29.9697,40.2064,58.57,40,51,11.72,SA,1645381431
189,Lavrentiya,65.5833,-171,-15.61,95,97,5.97,RU,1645381431
190,Belaya Gora,68.5333,146.4167,-45.02,100,65,1.81,RU,1645381431
191,Nanortalik,60.1432,-45.2371,14.43,61,51,18.19,GL,1645381432
192,Marsá Maţrūḩ,31.3525,27.2453,59.2,67,0,0,EG,1645381432
193,Norman Wells,65.282,-126.8329,-23.76,69,40,5.75,CA,1645381432
194,Bontang,0.1333,117.5,75.76,86,100,1.5,ID,1645381433
196,San Quintín,30.4833,-115.95,60.57,65,93,4.43,MX,1645381139
197,Belen,36.4891,36.2233,51.94,51,20,11.5,TR,1645381433
198,Jinji,23.2281,110.8261,39.85,95,100,3.96,CN,1645381434
199,De-Kastri,51.4667,140.7833,2.57,96,100,9.08,RU,1645381434
201,Grindavik,63.8424,-22.4338,35.55,75,0,20.71,IS,1645381494
202,Maţāy,28.419,30.7792,59.49,44,15,7.29,EG,1645381495
203,Carnarvon,-24.8667,113.6333,84.27,70,70,12.66,AU,1645381495
204,Punta Alta,-38.8759,-62.0736,75.58,58,21,15.64,AR,1645381408
205,Takoradze,4.8845,-1.7554,82.13,78,95,7.61,GH,1645381495
206,Kuzedeyevo,53.3308,87.2019,2.84,98,14,2.77,RU,1645381496
207,Te Anau,-45.4167,167.7167,45.95,90,26,1.1,NZ,1645381496
208,Alofi,-19.0595,-169.9187,75.09,94,45,3.44,NU,1645381496
209,Pokhara,28.2333,83.9833,48.09,82,99,5.03,NP,1645381497
210,Moranbah,-22.0016,148.0466,70.47,89,6,8.25,AU,1645381497
211,Guangzhou,23.1167,113.25,44.01,85,100,11.68,CN,1645381279
212,Longyearbyen,78.2186,15.6401,-0.56,71,20,12.66,SJ,1645381498
213,Waddān,29.1614,16.139,67.75,16,40,7.34,LY,1645381498
216,Youghal,51.95,-7.8506,42.01,82,72,32.39,IE,1645381498
217,Port Augusta,-32.5,137.7667,64.54,76,25,8.25,AU,1645381499
218,Karasjok,69.4719,25.5112,-3.89,98,100,3.29,NO,1645381499
220,Olinda,-8.0089,-34.8553,85.73,66,40,10.36,BR,1645381500
221,Harfleur,49.5066,0.1983,54.77,82,100,27.63,FR,1645381500
222,Seoul,37.5683,126.9778,19,68,0,2.3,KR,1645381456
223,Egvekinot,66.3167,-179.1667,-23.91,87,12,10.87,RU,1645381500
224,Merritt Island,28.5392,-80.672,78.22,52,20,13.8,US,1645381501
225,Agirish,61.9247,63.0231,26.35,95,100,10.6,RU,1645381501
226,Nikolskoye,59.7035,30.7861,30.09,98,97,3.36,RU,1645381138
227,Prince Rupert,54.3161,-130.3201,40.69,87,100,9.22,CA,1645381501
228,Hokitika,-42.7167,170.9667,55.4,86,3,4.32,NZ,1645381502
229,Golyshmanovo,56.3979,68.3728,6.93,88,46,10.42,RU,1645381502
230,Faanui,-16.4833,-151.75,80.53,75,66,18.1,PF,1645381503
231,Calvinia,-31.4707,19.776,68.61,43,0,8.3,ZA,1645381503
232,Acaraú,-2.8856,-40.12,85.78,63,29,13.76,BR,1645381459
234,Kenmare,51.8833,-9.5833,44.83,67,81,29.19,IE,1645381504
235,Tiksi,71.6872,128.8694,-1.34,85,100,13.44,RU,1645381504
236,Ylivieska,64.0833,24.55,18.88,99,97,1.7,FI,1645381504
237,Banda Aceh,5.5577,95.3222,80.53,76,86,4.45,ID,1645381505
238,Morondava,-20.2833,44.2833,83.1,80,17,9.6,MG,1645381505
239,Arman',59.7,150.1667,-10.95,84,87,7.94,RU,1645381505
240,Bereket,39.2446,55.5154,55.29,37,85,5.14,TM,1645381506
241,Mwinilunga,-11.7358,24.4293,61.12,98,97,3.56,ZM,1645381506
242,Nabīnagar,23.8917,90.9733,69.87,81,89,5.95,BD,1645381506
243,Omboué,-1.5746,9.2618,79.63,84,85,6.02,GA,1645381507
245,Lata,40.1629,-8.3327,56.35,66,51,4.61,PT,1645381140
246,Kapit,2.0167,112.9333,71.76,99,100,1.48,MY,1645381507
247,Kahului,20.8947,-156.47,76.84,82,40,5.99,US,1645381095
248,Bathsheba,13.2167,-59.5167,84.81,58,40,19.57,BB,1645381508
249,Miraflores,19.2167,-98.8083,70.56,26,0,4,MX,1645381508
250,Tommot,58.9564,126.2925,-11.36,99,100,2.42,RU,1645381568
251,Oktyabr'skiy,54.4815,53.471,32.68,97,100,15.32,RU,1645381569
252,Arnprior,45.4334,-76.3494,28.62,77,100,17,CA,1645381569
253,Adrar,20.5022,-10.0711,82,14,2,8.32,MR,1645381569
254,Limbaži,57.5129,24.7194,33.04,98,92,3.67,LV,1645381570
255,Mahébourg,-20.4081,57.7,81.25,89,100,29.93,MU,1645381136
257,Serowe,-22.3833,26.7167,79.77,38,64,4,BW,1645381570
258,Tevaitoa,-16.7833,-151.5,80.04,77,55,18.97,PF,1645381570
259,Kangaatsiaq,68.3065,-53.4641,-4.5,92,100,5.19,GL,1645381571
260,Butaritari,3.0707,172.7902,81.32,79,100,20.62,KI,1645380915
261,Dikson,73.5069,80.5464,20.26,95,100,17.31,RU,1645381571
262,Solnechnyy,50.7214,136.6319,2.95,92,100,10.2,RU,1645381572
263,Bilibino,68.0546,166.4372,-32.94,100,48,3.6,RU,1645381572
264,Vostok,46.4856,135.8833,-0.06,98,100,5.97,RU,1645381572
265,Ugoofaaru,5.6667,73,82.67,73,8,8.68,MV,1645381573
266,Jasper,37.2001,-94.3502,62.06,28,0,10,US,1645381573
267,Torbay,47.6666,-52.7314,29.28,85,100,11.5,CA,1645381573
268,Leshukonskoye,64.8989,45.7622,25.52,99,100,1.68,RU,1645381574
269,Lagos,6.5833,3.75,86.32,72,85,7.4,NG,1645381574
270,Anadyr,64.75,177.4833,-12.5,70,20,8.95,RU,1645381574
271,Sturgeon Falls,46.3646,-79.9326,30.09,81,100,21.23,CA,1645381575
272,Assiniboia,49.6334,-105.9845,-2.29,77,100,17.27,CA,1645381575
273,Berlevåg,70.8578,29.0864,26.24,62,100,10.76,NO,1645381575
274,Portland,45.5234,-122.6762,48.15,80,40,11.5,US,1645381524
275,Leopoldina,-21.5319,-42.6431,73.9,93,100,1.32,BR,1645381576
276,São Filipe,14.8961,-24.4956,72.14,68,89,9.73,CV,1645381093
277,Methóni,36.8197,21.7049,59.22,86,100,1.5,GR,1645381576
279,Pacific Grove,36.6177,-121.9166,61.81,86,100,6.91,US,1645381576
281,Mareeba,-17,145.4333,73.44,91,49,2.1,AU,1645381577
282,Kaitangata,-46.2817,169.8464,51.93,83,77,3.49,NZ,1645381577
283,Gouré,13.9835,10.2704,71.89,11,1,10.38,NE,1645381578
284,Thinadhoo,0.5333,72.9333,81.75,69,20,3.27,MV,1645381578
286,Puliyūr,10.6333,78.8333,78.6,78,20,2.3,IN,1645381578
287,Morro Bay,35.3658,-120.8499,64.2,57,25,7,US,1645381579
288,Havre-St-Pierre,50.2334,-63.5986,12.79,57,0,14.97,CA,1645381579
289,Chālūs,36.655,51.4204,49.46,93,100,4.61,IR,1645381579
290,Nome,64.5011,-165.4064,11.16,56,100,9.22,US,1645381580
291,Goderich,43.7501,-81.7165,34.92,59,47,24.16,CA,1645381580
292,Upernavik,72.7868,-56.1549,-3.41,96,100,9.13,GL,1645381580
293,Cabo San Lucas,22.8909,-109.9124,74.52,65,100,5.01,MX,1645381467
294,Fairbanks,64.8378,-147.7164,-9.4,73,0,6.91,US,1645381331
295,Mehamn,71.0357,27.8492,24.98,66,100,6.78,NO,1645381581
296,Macenta,8.5435,-9.471,92.44,15,8,2.08,GN,1645381581
297,Corpus Christi,27.8006,-97.3964,73.63,72,100,10.36,US,1645381581
299,Jumla,29.2747,82.1838,27.41,91,71,4.21,NP,1645381582
300,Moses Lake,47.1301,-119.2781,43.29,70,40,8.05,US,1645381642
301,Nogales,31.3086,-110.9422,67.96,16,95,12.37,MX,1645381643
302,Ixtapa,20.7,-105.2,79.83,57,0,4.61,MX,1645381643
303,San Lazaro,18.0387,-88.6622,83.98,51,26,11.12,BZ,1645381643
304,Los Llanos de Aridane,28.6585,-17.9182,63.12,58,20,21.85,ES,1645381644
305,Östersund,63.1792,14.6357,27.05,80,75,8.05,SE,1645381468
306,Huanren,41.2647,125.3667,8.38,87,100,1.54,CN,1645381644
308,Chokurdakh,70.6333,147.9167,-41.26,100,54,2.86,RU,1645381454
309,Swan Hill,-35.3378,143.5544,60.48,72,2,9.22,AU,1645381645
310,Pisco,-13.7,-76.2167,77.05,65,0,5.75,PE,1645381492
311,Puerto Carreño,6.189,-67.4859,93.18,40,20,16.11,CO,1645381645
312,Sabaudia,41.3003,13.0282,56.77,88,26,5.26,IT,1645381645
313,Saskylakh,71.9167,114.0833,-17.05,99,96,5.55,RU,1645381646
314,Kendari,-3.945,122.4989,76.41,87,100,4.09,ID,1645381409
316,Anaconda,46.1285,-112.9423,34.77,63,74,7.07,US,1645381646
317,Praia da Vitória,38.7333,-27.0667,59.25,82,75,5.26,PT,1645381647
318,Olden,61.8364,6.8064,34.72,88,100,9.93,NO,1645381647
319,Saint George,37.1041,-113.5841,64.35,28,0,3.44,US,1645381647
320,Kamenka,51.3223,42.7678,29.21,90,84,11.01,RU,1645381566
321,Kyren,51.6828,102.1408,5.22,93,93,2.44,RU,1645381648
322,Mount Isa,-20.7333,139.5,69.57,56,40,2.3,AU,1645381648
